Categorie;Email
Belasting, Werk en Inkomen;Meneer heeft rond 6 januari een brief ontvangen van de afdeling Handhaving Basisinformatie dat hij bewijs moet aanleveren dat hij ook daadwerkelijk woont op het adres waar hij staat ingeschreven. Meneer Uzuner heeft de gevraagde documenten afgeleverd bij stadsdeel Centrum waar hem is toegezegd dat het naar de juiste afdeling toegestuurd zou worden. Meneer is op maandag 12 januari om 14.57 uur gebeld door een medewerker van Handhaving Basisinformatie die aan meneer heeft aangegeven dat zij enkel de kopie van het rijbewijs hebben ontvangen en niet dan andere gevraagde documenten. Toen meneer de situatie heeft uitgelegd aan de medewerker, reageerde deze boos en begon te schreeuwen en meneer vind dat hij niet respectvol is benaderd.Dat de medewerkster haar excuses aanbied en in het vervolg op een respectvolle manier het gesprek voert.
Openbare Ruimte;Dhr Heemskerk staat op dit adres ingeschreven maar woont zelf ergens anders. De buren van de Emmalaan 9 worden stelselmatig met geluidsoverlast geconfronteerd van de illegale bewoner op de bovenverdieping. Ik ben medeeigenares van dit pand en moet mr Heemskerk een bijdrage leveren aan de hypotheekkosten. Ik heb een aantal maanden geleden een melding gemaakt van dit probleem maar helaas nog niets van u vernomen. Ik wil u vragen om a.u.b actie te ondernemen zodat de woning niet nog langer in beslag wordt genomen door regelmatig andere en illegale<br /> bewoners. De woning staat al 5 jaar te koop en op deze manier is de woning ook steeds moeilijker te verkopen plus dat de omgeving meer dan alleen maar wat hinder ondervind.<br /> Mijn emailadres is : astridseiffers@hotmail.com<br /> Graag verneem ik uw reactie.<br /> Vriendelijke groet,<br /> Astrid SeiffersErvoor zorgdragen dat de illegale bewoner de woning verlaat en mr Heemskerk zich meld. Ik kan bewijzen dat meneer hier niet meer woont.
Basisinformatie;Geachte meneer<wbr />/mevrouw,<br /><br />Onlangs ontving mijn dochter van bijna 10 jaar een oproep voor het aanvragen van een nieuw paspoort. Omdat de brief aan haar persoonlijk was gericht mocht zij hem zelf openmaken, ook ivm met het nog steeds in Nederland geldende briefgeheim . Behalve de oproepbrief was bijgesloten een dringende oproep m.b.t. het al dan niet ondertekenen van een donorcodicil. Zij raakte daar nogal van in paniek. Begrijpelijk want dit zijn geen vragen waar je een meisje van tien mee lastig valt. <br />Daarnaast kan iedereen in Nederland zich pas vanaf 12 jaar registereren als donor. Kortom, de bijlage was ongepast en contraproductief!Het zou misschien beter zijn als men bij het opsturen van de paspoortoproepen rekening houdt met de leeftijd van de geadresseerde, ofwel de oproep in het geval van minderjarige kinderen aan de ouders adresseert. Bijvoorbeeld 'aan de ouders van Jantje Pieters.' Volgens mij was dat in het verleden wel het geval?<br />Met vriendelijke groet,<br />W. Scheltema
Belasting, Werk en Inkomen;Goeden dag, ik will in Wenen in Oostenrijk trouwen en heb daarvoor een paar Dokumente nodig. die kan ik op de Ambassade in Wenen niet krijgen en volgens een telefoontje alleen per Postweg aanvragen. dir heeft ten eerste tot gevolg dat er veel tijd voor het brieven schrijven, op de post doen Enz en ik eventueel mijn geboekte termijn op de burgeerlijke stand in wenen niet kann vasthouden. in tijden als deze voor mij absoluut niet toepasselijk of klantenvriendelijk. met vriendelijke groeten Harry valckx
Basisinformatie;Op mijn stempas staat dat ik 21.00 uur kan stemmen. Om 20.30 uur zat het hek voor de Annie M.G. Schmidtschool al op slot! Het stemlokaal was dus dicht.Er is nu niks meer aan te doen, maar het kan natuurlijk zijn dat veel van dit soort klachten is. Er kunnen meer mensen voor een dichte deur hebben gestaan, ook bij andere stembureau's. Niet iedereen zal de moeite nemen te klagen. Hoe groter het aantal, hoe erger. Het kan zelfs de uitslag beinvloeden! Ik vind dat elke stem telt (zeker die van mij). Dus: Onderzoek het enzorg dat het bij de volgende verkiezingen niet weer gebeurd.
Parkeren;Apparently, there has been a big error and I was deregistered from Amsterdam Gemeente by mistake, even though I still live in and never quit the city (my BSN: 3221.58.679).<br /><br />Last week my wife deregistered herself as she was permanently leaving the country. We have discovered this week that the official  also deregistered me by accident, even though I was not present during the meeting nor did I sign anything. FYI, my wife did not mention my deregistration at all and she is also appalled by the situation.<br /><br />When today I showed up at Amsterdam Gemeente Oost, the reception admitted the error but there was nobody who could deal with my case. I was told to go to Amstelveen to register myself again.<br /><br />Please note that at the moment I am still in the middle of my studies with my student residence contract until the end of July 2015 (attached). I find it unacceptable that I should register myself again in person if I had never deregistered myself in the first place
Openbare Ruimte;Kl geeft aan dat ze niet netjes is geholpen. <br />Ze is niet goed geinformeerd en de medewerker liet de klant niet uitpraten. Medewerker ging volgens de kl ook gelijk in discussie. <br />Kl heeft een dochter gekregen en heeft haar laten inschrijven bij de gemeente. Volgens de huisarts klopt het bsnnummer van haar dochter niet. In de brief die de kl heeft ontvangen van de gemeente staat een persoonslijst en daarbij staat dat kl contact met de gemeente moet opnemen als er gegevens van haar dochter zijn correct zijn. Dit heeft zij ook gedaan, maar zij is niet geholpen en verkeerd doorverwezen. Zij moest bellen naar de Belastingdienst.Dat de medewerker op een andere afdeling wordt geplaatst, omdat zij volgens de klant niet hoort op een afdeling die klanten moet informeren.
Belasting, Werk en Inkomen;On 16<wbr />/3 I filled the online form for moving within Amsterdam  (correspondentienummer: 2015-0356268). I wasn't given the chance by the form to specify I wanted to move my wife and child together as well. I immediately called 14020, they told me that the system knows about them and not to worry, they'll be moved together for sure, and call back if that didn't happen.<br /><br />That didn't happen, so this morning I called again. The kind person I talked with first made me talk to a second person that was not that kind.<br /><br />She didn't want to acknowledge there may be a problem in the system and tried to blame me for not having filled the form correctly.<br /><br />She also couldn't suggest any other solution than sending my wife to the city hall. When I said that since she works all day in Leiden that's not very convenient and asked whether I could go in her place, and when I asked about problems with the belastingdienst since we've now being registered in different places, she answered very rudely.I think we as taxpayers have a right to be treated with kindness and respect by the representatives of the institutions we maintain. This is usually the case when I talk with people from the municipality of Amsterdam, it would be great if exceptions like the one from this morning would not happen at all.
Openbare Ruimte;Ik had een Antilliaanse rijbewijs die moest verlopen om 20-08-2014 en had daarvoor een afspraak gemaakt om 15-08-2014 om het om te wisselen. Op 14 augustus 2014 werd ik opgepakt door openstaande boeten en moest een straf zitten van 7dagen. Dus ik werd op 21ste van zelfde maand vrijgelaten. Paar dagen later belde ik met RDW en Gemeente Amsterdam om ze me probleem uit te leggen en vragen als ik nog me rijbewijs kan omwisselen en geen van beide partij vind het geen bezwaar. Op 29-08-2014 09:00 ging ik naar gemeente Waterloo plein om me aanvraag in te dienen, maar voordat ik het deed vroegte ik weer aan de baliemedewerker als ik het kan doen en haar de situatie uitgelegd. Zij zei ja dat ik het kan doen dus ik ging door met me procedure. Ik heb alles betaal en alle papieren laten zien die ik moest meenemen. Tot me verbazing kreeg ik twee weken daarna een brief van RDW dat hun mij me rijbewijs niet geef omdat die al verlopen is. Ik was in bezwaar gegaan maar werd weer geweigerd door RDW.....Ik wil weten of ik me rijbewijs wel krijg of me geld terug. Want als ik voor iets betaal verwacht ik dat ik me product krijg en als ik me product niet krijg dat wil ik me geld terug. Dat is longish
Openbare Ruimte;Mei 2014 ben ik verhuisd binnen Amsterdam. Deze verhuizing heb ik destijds online doorgegeven. In november 2014 ben ik door de gemeente Amsterdam uit de Gemeentelijke Basisadministratie geschrapt omdat ik 'onvindbaar' zou zijn. Blijkbaar is mijn verhuizing nooit aangekomen bij de gemeente, ondanks dat ik dit online geregeld dacht te hebben. Na twee weken als 'niet-ingezetene' geregistreerd te hebben gestaan heb ik me opnieuw in kunnen schrijven bij het loket burgerzaken. Echter was de gemeente niet bereid om me met terugwerkende kracht in te schrijven. De gemeente geeft aan dat ze me hebben gebeld om te achterhalen waar ik woonde. Echter heb ik nooit een telefoontje ontvangen. Het gevolg is dat ik huursubsidie t<wbr />/m november terug heb moeten betalen en tot op heden niks meer heb kunnen ontvangen, ook niet op mijn nieuwe adres. De gevolgen hiervan zijn groot voor mij omdat ik een minimaal inkomen heb.Ik zou met terugwerkende kracht ingeschreven willen worden bij de gemeente Amsterdam waarbij ik vanaf mei 2014 ingeschreven sta op het adres waar ik sindsdien woon zodat de administratie bij de Belastingdienst weer kloppend kan zijn.
Basisinformatie;Ik heb via Digit een uittreksel GBA aangevraagd. Ik heb het aanvraagformulier ingevuld eenvervelende met IDEAL betaald. Het bedrag is afgeschreven maar ik krijg een namelijk dat het formulier niet is ontvangen. Als ik echter het formulier opnieuw invul en tracht te verzenden moet ik opnieuw betalen. Dat kan toch niet de bedoeling zijn denk ik. Vraag, is het toch goed gegaan en is er sprake van een foutmelding of moet ik iets anders ondernemen?<br />
Openbare Ruimte;Ik heb een paspoort aangevraagd 12-02-2015. In het oude paspoort staat een long-life visum van India. Ik heb gezegd dat dit niet stuk mag. Bij het afhalen van het nieuwe paspoort heb ik nogmaals gezegd dat het long-life visum van India niet stuk mag.<br />Mijn moet heeft gelijktijdig een paspoort aangevraagd en heeft ook een long-life visum van India in haar oude paspoort en dat is wel goed gegaan.<br />Ik heb nu ontdekt dat er verkeerde gaten in mijn oude paspoort zitten en het long-life visum stuk is met gaten.<br />Dit komt mij op hoge kosten om een nieuwe aanvraag visum van India.De kosten betalen voor een nieuwe visum van India
Openbare Ruimte;Bij het wijzigen van mijn adres in Amsterdam ontstond er een foutmelding tijdens het invullen van de postcode. Ik vulde de juiste postcode met het aantal letters en cijfers in maar hij gaf aan dat ik een foute postcode invulde. De postcode is 1054VW.<br /><br />MVG, <br />Aniek Stroeken<br />Per e-mail
Belasting, Werk en Inkomen;Retouradres: Postbus 12 620, 2500 DL  Den Haag<br /><br /> De heer Miloud El Addouti<br /> Insulindeweg 656-1<br /> 1095 EE Amsterdam   <br />               Gemeente Den Haag<br /><br /><br />  <br />Dienst Publiekszaken<br /><br /><br />              Uw brief van<br />            <br />              Uw kenmerk<br />            <br />              Ons kenmerk<br />            KOG471636<br />              Doorkiesnummer<br />                <br />              E-mail<br />                <br />              aantal bijlagen<br />            -<br />              Datum<br />           11 mei 2015<br /><br /> <br /><br /><br /> <br /><br /> Geachte heer El Addouti,<br /> <br />Uit de basisadministratie persoonsgegevens van de Gemeente Den Haag blijkt, dat daarin de volgende gegevens zijn opgenomen: <br /> <br />Naam:             El Addouti <br />Voornamen:  Miloud   <br /> Geboren op:  08 januari 1982 te Driouch Marokko <br />Nationaliteit: Nederlandse, Marokkaanse<br /><br /> <br /> <br /> <br /><br /><br /><br /><br /> Met vriendelijke groet,<br /><br /> Namens het college van Burgemeester en Wethouders,<br />De aangewezen ambtenaar.  <br /><br /><br /><br /><br /><br />(Deze mail is centraal in een geautomatiseNee
Belasting, Werk en Inkomen;Onlangs ontving ik een brief waarin de Dienst Basisinformatie concludeerden dat ze niet kunnen vaststellen wat mijn actuele woonadres is en daarom hebben besloten dat ik ben “vertokken naar onbekend”. Op dit bericht kan ik schriftelijk bezwaar indienen. Ik doe dit echter liever per email dan schriftelijk en snap eerlijk gezegd niet waarom deze optie mij niet wordt geboden. Dit is dan ook de eerste klacht die ik over de gang van zaken wil uitten.<br />Mijn tweede klacht<wbr />/probleem is dat ik reeds telefonisch contact met de gemeente heb opgenomen over deze kwestie. En ik aldaar geen goed advies heb gekregen.Per e-mail
Openbare Ruimte;Ik krijg van meerdere officiele instanties (waaronder de politie) nog steeds post toegestuurd naar mijn oude adres, nl het Delflandplein. Ik heb mijn verhuizing naar de Adelaarsweg 115-I weken terug aan jullie doorgegeven, hoe kan dit gebeuren?Spreek mij aan met:
Basisinformatie;Bij aanvraag van een nieuwe DigId ontvang ik de melding dat mijn (brief)adres gevevens onjuist zijn in de basisadministratie.<br /><br />Deze gegevens zijn de afgelopen decennia nimmer gewijzigd!Nee
Basisinformatie;Mijn voornaam staat sinds 08-01-1982 verkeerd<wbr />/fout<wbr />/onjuist op de Nederlandse Paspoort en ID kaart. Ik wil graag een verzoek indienen bij de Gemeente Amsterdam om mijn voornaam met spoed te wijzigen in het GBA. Volgens Marokko en Nederland de Rechtbank verplicht<wbr />/moet in plaats van Mouloud dit Miloud moeten zijn.     <br /><br />Nee
Basisinformatie;Er is een persoon (D Skoko) ingeschreven op het adres van mijn appartement zonder dat ik daarvan op de hoogte ben gesteld. Dit blijkt uit een brief van Belastingdienst die ik ontving op mijn adres op naam van deze persoon, die ik niet ken.Nee
Openbare Ruimte;Ik heb op zaterdag 23 mei een uittreksel vasisregistratie aangevraagd en betaald. Ik zou het in vijf werkdagen in huis hebben. Ik heb het uittreksel nog niet ontvangen, de post is vandaag al geweest. Omdat ik het uittreksel al nodig had, heb ik het persoonlijk aan het loket gehaald, en betaald. U begrijpt dat ik mijn geld terug wil van het electronisch opgevraagde uittreksel, en hoef het dus ook niet meer te ontvangen.Geen voorkeur
Parkeren;De laatste weken ontvang ik heel veel post van Belastingdienst en ik meen ook 1 brief van uw organisatie betreffende een persoon (PC Nitschke) die ik niet ken, maar klaarblijkelijk wel op mijn adres door jullie is ingeschreven.Nee
Parkeren;Op 04 april 2015 overleed mijn moeder A.W.M. 't Hoen BSN 066183704. Voor de afhandeling van haar begrafenispolis vraagt de verzekeraar een uitreksel uit het basisregister, waaruit blijt hoeveel kinderen zij heeft gehad. Ik ben haar zoon, en ik had haar overlijdensakte bij me. Aan het loket werd mij medegedeeld dat vanwege wet bescherming persoonsgegevens er geen informatie verstrkt kan worden. DIT IS JEREINST PAARSE KROKODIL. Immers ik moet wel alles regelen betreft nalatenschap etc. en de Gemeente AMSTERDAM (!) werkt mij hier bureaucratisch in tegen. Bestuursrechtelijk dient de maatregel geen enkel belang, want mevrouw is overleden, sterker nog het hindert mij in voltrekken van de afhandeling van overlijden van wijlen mijn moeder. Mij werd geadvoseerd een trouwboekje te vragen bij de Gemeente Rotterdam, mijn moeder is sinds 1977 gescheiden en er zijn drie kinderen...<br />Gelukkig was de Gemeente Rotterdam wel begripvoller en ik mag een verzoek indienen, maar de klacht staat! Ombudsman?<br />Nee
Openbare Ruimte;Ik heb mijn verhuizing online doorgeven en onderstaand mailtje ontvangen. Ik sta nu, bijna 1 maand later nog steeds ingeschreven in Almere. Graag ontvang ik gaande een bevestiging van mijn verhuizing via de mail en de post.<br /><br />Met vriendelijke groet en een fijn weekend alvast,<br />Elisa Reim<br />0631773899<br /><br />Betreft: Ontvangstbevestiging<br />Correspondentienummer: 2015-0374770<br /> <br /> <br />Geachte mevrouw Reim,<br /><br />Hartelijk dank voor het doorgeven van uw verhuizing naar Amsterdam. Wij hebben die ontvangen op 8-4-2015 om 8:47 uur. U krijgt, na de verhuisdatum die u opgaf, een schriftelijke bevestiging op uw nieuwe adres.<br /><br />Hebt u nog vragen? Bel 14 020. Zorg dat u bovenstaand correspondentienummer bij de hand hebt.<br /><br />Met vriendelijke groet,<br /><br />Gemeente AmsterdaNee
Openbare Ruimte;onbereikbaarheid  helpdeskGVD een betere informatie over de wachttijd wanneer je telefoon beantwoord word.<br />zit verdomme 1 uur te wachten en word nog niet geholpen!
Openbare Ruimte;op het stembiljet verkiezing leden van de provinciale staten op 18 maart staat een fout tav geldigheid identiteitsbewijs. geldig tm 19 maart 2010 staat gedruk t. Moet toch zijn 2015?<br />niet geldige legitimatiebewijzen zou het gevolg kunnen zijn!
Openbare Ruimte;Inschrijving van verhuizing duurt voort. De verhuizing werd digitaal doorgegeven op 2 maart 2015, maar op 11 maart is er nog niets gebeurd. <br />Op 9 maart werd er telefonisch contact opgenomen, er werd gezegd dat het in orde werd gemaakt, Door beller werd gevraagd of hij kon refereren aan het gesprek met medewerker, toen werd er door de medewerker gezegd 'ja, u heeft gesproken met meneer dinges' en opgehangen.  <br />Op 11 maart is er opnieuw contact geweest, toen werd gezegd dat het nu onmiddelijk ging gebeuren, meneer zou worden ingeschreven per twee maart 2015. <br />Meneer wil namelijk een uitkering aanvragen, en wordt gehinderd doordat de inschrijving niet in orde is. <br />Ook wil meneer een stempas aanvragen, wat dus niet gaat.Inschrijving in orde maken per twee maart 2015.
Openbare Ruimte;Mrs Spijker van settle service heeft vanochtend met een dame van het KCC gebeld om een afspraak te wijzigen.  Er stonden voor eerste inschrijving twee personen in geboekt voor vandaag om 10.45. een van de geboelte personen moest ingeboekt worden voor een latere datum 12 nov om 09.30 en de andere persoon moest geboekt blijven staan voor vandaag om 10.45. Helaas is de persoon die vandaag een afspraak had uit het Qmatic systeem gehaald waardoor deze persoon uiteindelijk is weg gestuurd bij de DBI en waardoor deze persoon nu een maand langer geen BSN kan krijgen met alle gevolgen van dien ( zoals uitbetaling loonwat ook een maand later pas uitbetaald kan worden )eventueel een afspraak aanbieden dat kl toch eerder kan komen dan 12 nov ondanks dat de agenda helemaal vol is ( Mrs Spijker is  hiervan op de hoogte )
Basisinformatie;op http:<wbr />/<wbr />/www.amsterdam.nl<wbr />/veelgevraagd<wbr />/?caseid=%7BD68460AA-EB08-4132-A69F-7763CD8431A2%7D staat dat op de Bilderdijkkade en op de Overtoom een bak staat voor gebruikte textiel. Maar dat is niet het geval. Ik ga niet andere genoemde plekken langs, maar wil van u vernemen waar er nog echt een bak staat..website aanpassen
Belasting, Werk en Inkomen;Ik heb op 2 februari 2015 een aanvraag gedaan via de website voor een uittreksel Basisregistratie Personen (BRP) onder correspondentienummer 2015-0322758, maar het ontvangen uittreksel is niet compleet en bevat niet mijn 'burgerlijke staat'. Bij de aanvraag kreeg ik de volgende uitleg te zien:<br />“Op een uittreksel uit de Basisregistratie Personen (BRP) staan altijd uw naam, adres en geboortedatum. Verder kunt u zelf aangeven wat er op het uittreksel moet staan. Een pensioenfonds wil bijvoorbeeld andere informatie van u dan een woningcorporatie. Vermeld daarom altijd bij uw aanvraag waarvoor u het uittreksel nodig hebt. De medewerker die uw aanvraag behandelt, weet dan welke gegevens erop moeten staan.”<br />Ik heb toen vermeld dat het om “registratie van de partner” ging, en ging er daarmee vanuit dat de medewerker die de aanvraag zou behandelen zou weten wat daarvoor nodig was. Maar toen ik mijn uittreksel ontving stond mijn burgerlijke staat er dus niet op, terwijl ik die wel nodig heb.Terugstorten van het bedrag van de aanvraag a 9,50. <br /><br />Ik heb inmiddels een nieuw uittreksel aangevraagd en al betaald om op die manier wel op tijd een correct uittreksel met de benodigde informatie te krijgen.
Parkeren;<br />Mijn klacht is dat Mw. Halden zonder mij op de hoogte te stellen over is gegaan naar uitschrijven van Dhr. Benhadi terwijl mijn advocaat een afspraak had staan met haar collega Mw. Wijngaarde. Mw. Wijngaarde heeft ons op 25 November 2014 uitstel gegeven om de huisbewaring in orde te maken, in deze uitstel staat duidelijk totdat de Huisbewaring is goed gekeurd. Van deze afspraak is door Mw. Halden zonder enige reden afgeweken, ook heeft ze ons hiervan niet op de hoogte gebracht. Ik vind dit een kwalijke zaak, mijn vertrouwen in de Gemeente is hiermee geschaad. Volledige klacht in bijlageKlacht afhandelen door uitschrijving ongedaan te maken tot dat huisbewaring afgehandeld is.
Belasting, Werk en Inkomen;Ik dien even de klacht in voor mijn vriendin want ze spreekt geen nederlands. <br /><br />Mijn vriendin heeft zich begin januari ingeschreven in amsterdam. Achter waren er wat problemen met huurtoeslag en nu heeft ze een dwangbevel gekregen voor betaling. Zij heeft zich ingeschreven op:<br /><br />Jan van Galenstraat 335, 1061 AZ Amsterdam. Echter in het systeem staat zij ingeschreven op VD Sande bakhijzenstraat 4. <br /><br />Daardoor heeft zij nu de waarschuwings brieven niet ontvangen en dit is ondertussen opgelopen tot een hoge boete.De gemeente moet het adres aanpassen en ik zou graag iets van een verklaring ontvangen waarin staat dat zij op een ander adres woont en daardoor niet de brieven heeft ontvangen.
Belasting, Werk en Inkomen;uittreksel Gemeentelijke Basis Administratie is onjuist.de GBA's corrigeren.<br />Ik zend dit ook aan de gemeente De Bilt, Nijmegen en Cuijk.
Openbare Ruimte;Voor de 2e keer heb ik de e-learning gevolgd en behaald voor participatie aan de verkiezingen -vorige keer inclusief een klassikale training-, de laatste dus 18 Maart jl. Ik begrijp dat er misschien veel mensen zijn die willen bijdragen<wbr />/ meewerken aan de verkiezingen, maar ik investeer tijd en inzet en ik krijg niet eens een brief waarin word vermeld of ik wel of niet word opgeroepen, of op de reservelijst sta, of niet.<br /><br />Vind ik erg onattent van de gemeente.<br /><br />Met vriendelijke groet,<br />Eva Schippers.Uitleg waarom het op deze manier is gegaan vanuit de gemeente.
Belasting, Werk en Inkomen;Mijn naam is Biangela Macaria, en ben vanaf 26 mei 2014 bij de gemeente Vlaardingen ingeschreven.<br />Zaterdag kreeg ik een klacht van Dhr. HAP Arion wonende te Marianne Philipstraat  9H, 1064EX Amterdam, dat ik nog steed bij hem ingeschreven staat, doordat hij een te hoge aanslag kreeg van waterschapbelasting 2015<wbr />/2016. Kunnen jullie aub even controleren of ik nog steed op zijn adres staat ingeschreven?<br />Alvast bedankt voor uw hulp verblijf ik met vriendelijke groetjes.<br />U kunt mij terug mailen op biangela-macaria@hotmail.comOm aub mijn uitschrijving aan Dhr. HAP Arion even door te geven.
Belasting, Werk en Inkomen;Klacht mbt geluids overlast Supperclub niet terug gekoppeld naar mij als bewoner. Betreft klacht nr MORA-0222451Graag alsnog snelle terug koppeling
Openbare Ruimte;Stadstoezicht medewerkers hebben mw van Ommeren ruw behandeld. Mw had koffie to go meegenomen en mocht niet in de tram. Zij heeft deze in haar tas gestopt. Trambestuurder wilde niet rijden. Handhaving of stadstoezicht is er bij geroepen en heeft mw hardhandig aangepakt. Mw is bijna gewurgd en meegenomen door de politie.mw van Ommeren is hierdoor erg overvallen en wenst dat ze niet in de problemen komt met aanvraag VOG.
