Categorie;Email
Openbare Ruimte;Naar ik begrepen heb, staat er in het GBA  'katholiek' vermeld, aangezien mijn beide ouders gedoopt zijn. Echter hebben zij hier afstand van genomen en is er heel bewust voor gekozen om mijn niet te dopen. Daarmee ben ik niet katholiek, noch hang ik een ander geloof aan, en wil ik u vragen dit per ommegaande in het GBA aan te passen.Mijn persoonsgegevens in het GBA aan te passen en geen geloof aan mijn gegevens toe te voegen en daarbij de omschrijving als katholiek te verwijderen.
Openbare Ruimte;De gemeente Amsterdam heeft ervan afgezien nader onderzoek  in te stellen naar de manier waarop een woning waarvan ik mede-eigenaar ben wordt gebruikt als postadres door iemand die er niet woont. hoewel we dit hebben gemeld bij de Dienst Burgerzaken, is het onderzoek naar de ons inziens valse inschrijving stilgelegd.Wij verzoeken u dan ook om opnieuw een adresonderzoek in te stellen naar de inschrijving van G.P. Harrison op de Balistraat 74 II en deze keer graag grondig. Of de heer Harrison toont aan dat hij wel degelijk woont op dit adres – en hoe moeilijk kan dat zijn als hij er echt woont? – en dan is de inschrijving rechtmatig. Of de heer  Harrison slaagt er niet in om dit aan te tonen en dan moet de inschrijving aan de Balistraat 74 II ongedaan worden gemaakt. In beide gevallen ontvangen wij graag een schriftelijk verslag van het resultaat van dit onderzoek.
Belasting, Werk en Inkomen;Op mijn stempas staat als stembureau de bibliotheek Zuidkwartier genoemd op de Hesperidenlaan.<br />Al enige jaren is dit fout. Het is dicht en ik heb een keer ergens in de buurt een stembureau gevonden maar bij de laatste verkiezing zag ik nergens anders een bureau in de buurt.<br />Wilt u voortaan het juiste adres opgeven van het verkiezingsbureau. Ik woon Afroditekade 150 1076 DZ Amsterdam.<br />
Openbare Ruimte;Aanvraag verklaring logiesverstrekking correspondentienummer  2015-0346090:<br /><br />Ik sta geregistreerd als gehuwd<wbr />/ geregistreerd partner en dat klopt niet.Registratie aanpassen
Parkeren;Beste Gemeente medewerker,<br />Ik heb naar Amsterdam om 2-03-2015 verhuisd, en heb zo aan u doorgegeven om 5-03-2015. Ik heb een bevestiging van jullie via email gekregen maar niet in de post. Waarom duurt het zo lang, en hoe lang moet ik nog wachten? Dank u wel....<br /><br />Hier is jullie email bevestiging:<br /><br />Betreft: Ontvangstbevestiging<br />Correspondentienummer: 2015-0348549<br /> <br /> <br />Geachte heer Mamedov,<br /><br />Hartelijk dank voor het doorgeven van uw verhuizing naar Amsterdam. Wij hebben die ontvangen op 5-3-2015 om 12:43 uur. U krijgt, na de verhuisdatum die u opgaf, een schriftelijke bevestiging op uw nieuwe adres.<br /><br />Hebt u nog vragen? Bel 14 020. Zorg dat u bovenstaand correspondentienummer bij de hand hebt.<br /><br />Met vriendelijke groet,<br /><br />Gemeente Amsterdamja
Openbare Ruimte;Meneer hefet geen stempas ontvangen. Op het stembureau aangkomen, mag meneer uiteraard niet stemmen zonder stempas. Wegens prive-omstandigehden in het buitenland kon meneer niet een stempas ophalen. 18 maart is meneer aangekomen in Nederland.Meneer wil dit kenbaar maken. Excuses zou op zijn plaatst zijn.
Openbare Ruimte;mijn naam word gebruikt deze kan alleen als de documenten van mevrouw Harun bij jullie ingeleverd was eind 2013Ten eerste mijn naam weg halen bij de 2 kinderen, jullie zitten nu al bijna 2 jaar te wachten tot die documenten worden ingeleverd. Doe jullie werk goed en leg het uit in het met een tolk. Dan word het goed begrepen!
Openbare Ruimte;Mijn woningbouw vereniging heeft op 17 maart mijn verhuizing doorgegeven, van de Marco Polostraat 263-II naar de Kinderstraat 55-I. Omdat de gemeente Amsterdam deze verhuizing niet heeft geregistreerd heb ik vervolgens zelf op 29 maart voor een tweede keer deze verhuizing doorgegeven. Wederom heeft de gemeente Amsterdam daar niets mee gedaan hoewel ze op 29 maart wel per email bevestigde dat ze dit zouden wijzigen. Op 2 april heb ik telefonisch contact gehad met de gemeente Amsterdam. De afdeling Registratie wou niet te woord staan en wou alleen bevestigen dat mijn verhuizing wel was doorgevoerd. Iets wat pertinent onjuist is want wanneer ik op mijnoverheid.nl inlog staat daar nog steeds mijn oude adres. Ik ben dus al meer dan 16 dagen bezig om mijn verhuizing bij de gemeente Amsterdam door te geven, in de tussentijd kan ik ook mijn parkeer vergunning niet overzetten, wat een bijzonder vervelende situatie is. U bent het hopelijk met mij eens dat dit een onacceptabele gang van zaken is.Mijn verhuizing doorvoeren.
Openbare Ruimte;Op 16 februari jongstleden had ik informatie opgestuurd om te bewijzen dat mijn BRP inschrijving legaal en correct was. Om onbekende redenen werd dit onvoldoende geacht en werd ik op 25 februari opgebeld. De telefonische medewerkster was uitermate onbehulpzaam en zeer onvriendelijk in het uiteenzetten van de procedure die ik moest volgen om alsnog te bewijzen dat ik legaal ingeschreven stond op mijn woonadres. Meerdere malen legde ik uit dat ik geen pen en papier bij de hand had om benodigde informatie te noteren. De telefonische medewerkster had hier echter geen oor naar en toonde geen enkele flexibiliteit om het per e-mail of de post op te sturen. Het gehele gesprek heeft een bijzonder nare nasmaak achter gelaten bij mij. Ik voelde mij onjuist bejegend aangezien gebleken is dat ik geheel terecht op mijn adres was ingeschreven, maar ik haast als een crimineel aan de telefoon werd behandeld.Graag zou ik zien dat er betere service wordt geleverd. Als mij om informatie of bepaalde acties wordt gevraagd, help ik hier graag aan mee. Als dit echter op een dergelijk onprettige wijze gaat, stuit dit mij zeer tegen mijn borst. Ik wens dan ook niet behandeld te worden alsof ik een misdaad heb begaan, als er niets bewezen is of hier geen aanleiding tot is.
Belasting, Werk en Inkomen;Aanvraag van geboorteakte voor De heer J.A.C. Marsollier.<br />Hij woont in Nederland niet meer.niet geregistreren op mijn address, De Clercqstraat, 89-III
Openbare Ruimte;Ik heb een geboorteuitreksel aan gevraagt en betaald maar nog niet ontvangen.Kontroleeren
Basisinformatie;Op 20 februari hebben wij <br />1.Frank Nico van Baardwijk bsn 084458896<br />2.Nana Kereselidze bsn 219852017<br />via DigiD een adreswijziging doorgegeven, ingaande 1 maart 2015<br />Hiervan kregen wij een ontvangstbevestiging nummers:<br />1. 2015-0337065. (F.N. Van Baardwijk)<br />2. 2015-0337059. ( N.Kereselidze)<br />Echter toen vandaag mijn partner N.Kereselidze een nieuw rijbewijs aanvroeg bleek dat de adreswijziging bij de Gemeente Amsterdam niet is doorgevoerd.<br />Wij stonden beiden nog geregistreerd op het oude adres Courbetstraat 12-2 <br />1077zt Amsterdam.<br />Het is van belang dat de basisadministratie op orde is en een dergelijke lange behandelngsduur , zonder betrokkenen te informeren, is niet correct.<br />Ik wil hier een klacht over indienen.<br />Tevens willen wij dat de adreswijziging alsnog correct wordt doorgevoerd, danwel vernemen wij graag waarom deze adreswijziging niet wordt doorgevoerd, danwel welke nadere informatie u eventueel wenst om deze adreswijziging door te voeren.Nee
Parkeren;Mijn naam is Hisko Wiersema geb 04-0801962 ik ben eigenaar van de Spandsrswoudstraat 180 1024 LH Amsterdam, Deze week wilde een nieuwe huurder zich laten inschrijven (ipv Fabio Salerno ) en ze kreeg de melding dat er nog 3 mensen waren ingeschreven.<br />Ik heb nu 2 onderzoeken thuis gehad van hr M Aramzi en Mevr Christien Bronda, Tevens 2 maal op kantoor geweest en een adres ondezoek aangevraagt, Maar nu nog niet ok,<br />De enigste bewoners nu zijn<br />Diego Gianni en Giulia Pallavini (en ik als post adres)<br />Omdat ik tot July in Roemenie ben kan ik dit niet personlijk op de deelraad doen)Nee
Belasting, Werk en Inkomen;Ergens in de derde week van april heb ik een online verhuisaangifte ingediend bij de gemeente. Op 29 april kreeg ik een e-mail met het verzoek om nog een toestemmingsverklaring van mijn huurovereenkomst toe te sturen, als ik dit niet binnen twee weken zou doen, zou mijn verhuizing niet worden verwerkt. De volgende dag (30 april) heb ik meteen de documenten opgestuurd via de e-mail. Ik vroeg om een bevestiging, aangezien ik wel zeker wil weten of verhuizing nou geregistreerd staat of niet. Ik kreeg geen reactie. 6 mei stuurde ik een herinnering met de vraag of ik de juiste documenten had gestuurd. Weer geen reactie. En 12 mei een derde e-mail. Ik heb nog steeds geen reactie en ik vind dit uitermate slecht! Ik vind het regelrecht onbeschoft om niet te reageren als iemand tot drie keer toe een e-mail stuurt. Twee weken lang niet antwoorden op een simpele e-mail kan niet door de beugel en past niet bij de gemeente Amsterdam.Per e-mail
Openbare Ruimte;Eerder stuurde ik (M.W. Ribbe, 02-03-1947) op 5 mei 2015 om 13.28 uur naar dbi.info@amsterdam.nl (dit mail adres op advies van een van uw medewerkers via de telefoon) een mail met onderwerp: 'Vragen over ingeschreven blijven in AMS en gemeentebelastingen AMS' vanaf mijn email adres: mielribbe@gmail.com. Ik vroeg om een bevestiging van ontvangst.<br />Tot op heden heb ik geen enkele reactie ontvangen.<br />Deze mail stuur ik om reactie te ontvangen en mijn vragen beantwoord te krijgen.<br /><br />ZIE BIJLAGE<br />Nee
Openbare Ruimte;Hallo,<br /><br />Ik ben doof, dus kan niet telefoneren, daarom deze mail<br /> <br />Ik heb onlangs een Amerikaanse meisje via datingssite leren kennen. Inmiddels al 1 maand.<br />Ze verblijft op dit moment in Zuid-Afrika wegens haar studie universiteit. Haar officiele woonplaats is in Amsterdam.<br />Toen ze geld aan mij vroeg voor haar studie, omdat haar ouders al overleden is. begon ik twijfelen. Ik vrees voor oplichterij.<br /> <br />Kan je snel nazien want ze zei dat ze vandaag geld nodig heeft voor universiteit om haar diploma Masters af te halen en ik moet het geld via Western Union opsturen.<br /> <br />Kan je voor mij controleren of haar woonplaats klopt, aub.<br /><br />Ik vrees voor scam. <br /><br /> <br />Dijkstra Klara<br />Voorburgstraat 250<br />1059 VD Amsterdam<br /> <br />Dank U wel.<br /> <br />In afwachting op uw snelle antwoord, groet ik U vriendelijk<br /> <br />Kurt De Voecht<br />Frans De Schutterlaan 43<wbr />/2<br />2850 Boom<br />BelgiumNee
Parkeren;Geachte heer<wbr />/ mevrouw,<br />In december 2014 heb ik al vooraf een verhuizing binnen Amsterdam doorgeven via Digid op de website van de gemeente.<br />Per 3 januari 2015 ben ik officieel verhuisd naar dit adres Dennenrodepad 425, 1102 MW Amsterdam. Maar een tijdje geleden kwam ik erachter dat ik geen huurtoeslag<wbr />/studiefinanciering etc. kreeg, omdat volgens de instanties nergens stond ingeschreven. Toen heb ik telefonisch meerdere malen contact opgenomen met de gemeente die vertelde me dat er online iets mis is gegaan. Het adres klopte maar de huisnummer was verkeerd geregistreerd. Nu werd mij verteld om bij stadsdeelkantoor langs te gaan met het huurcontract , dit heb ik toen gedaan. Daar werd ik opnieuw ingeschreven maar niet voor de maanden daarvoor. Hiervoor moest ik een brief schrijven naar de afdeling R&A van de gemeente met de situatie beschreven. Dit heb ik toen gedaan en ik heb niks meer vernomen. En ook brief naar afd correctie gestuurd. <br />Nee
Openbare Ruimte;De ondergetekende Verklaring voornaam: MILOUD <br /> <br />1<br /><br />PERSOONLIJKE GEGEVENS<br /><br />Voorletters: M <br /><br />Geslacht: Man <br /><br />Voornaam en Achternaam: Miloud El Addouti <br /> <br />Straat en huisnummer: Insulindeweg 656-1<br /><br />Postcode Plaats: 1095 EE  AMSTERDAM <br /><br />Burgerlijke staat: Ongehuwd<br /><br />Geboortedatum, Geboorteplaats  en Geboorteland: 08-01-1982 te Driouch Marokko <br /><br />2 EIGEN VERKLARING VOORNAAM<br /><br />De Gemeentelijke Basisadministratie (GBA).<br /><br />Miloud El Addouti geboren op 08-01-1982 te Driouch Marokko<br /><br />Datum: 08-01-1996 <br /><br />Mijn handtekening: M.el addouti<br /><br />EIGEN VERKLARING VOORNAAM: MILOUD <br /><br />Nee
Openbare Ruimte;Sinds 25 juli huur ik mijn woning aan Moermond 8-II, 1082CM. Deze is toen leegstaand opgeleverd door Rochdale.<br />Ik heb huurtoeslag aangevraagd en nu blijkt dat de oude bewoner nog tot 1 februari 2015 op dit adres ingeschreven heeft gestaan. Op 1 mei heb ik van de belastingdienst een terugvorderingsverzoek gekregen over HT 2014Per e-mail
Openbare Ruimte;Mijn voornaam is echt officiele<wbr />/definitief gewijzigd bij alle overheidsinstanties in Nederland.Nee
Openbare Ruimte;<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /> GT 9,50 ? <br />30-09-2014 <br />Naam:ING Bank<br /><br />Omschrijving:229244 005000168147<br /><br /><br /><br /><br /><br /><br /><br />30 september jl heb ik digitaal zowel voor mezelf, Rina Louise Hoekstra, als voor mijn dochter Lotta Olivia Eelkje Hoekstra een uittreksel basisgegevens van de gemeente aangevraagd. Kosten 9,50 per stuk. Dus in totaal 19 euro! <br /><br />Op de website van de gemeente Amsterdam staat dat deze na vijf werkdagen verstuurd zullen worden, en dat verzending dan nog 3 dagen duurt. Deze periode komt me al vrij lang voor, maar de website is hier helder in.<br /><br />Wat is er aan de hand. Ruim gerekend zou in elk geval het gevraagde 14 oktober jl hier in huis moeten zijn.<br />Vandaag, 16 oktober zit het gevraagde nog steeds niet in de brievenbus! De gemeente belde ik, om eea na te vragen. Mij is verteld dat ik de status kan controleren via de dienst 'mijn overheid'. Niets! Kunt u aub zo spoedig mogelijk zorgen dat ik het gevraagde krijg!! <br /><br /><br />Per direct het gevraagde toesturen. Zonder dat ik nog extra moeite hiervoor hoef te doen!! Er is inmiddels twee keer gebeld, een mail over gestuurd, geen reactie overigens! En er staat niets op 'mijn overheid'.
Openbare Ruimte;Heb een geboorteuitreksel voor onze dochter LORIAN ELIZABETH JENS (15-7-2005) besteld vanuit het buitenland en ontvangen maar de gegevens kloppen niet.... Mijn vrouw wordt vermeld onder de naam van haar vorige echtgenoot PENROSE, maar wij waren op dat moment getrouwd... Haar meisjesnaam is BRIGGS, zoals vermeld op onze Huwelijks Akte (ook door U verzonden in dezelfde envelop), maar zij stond ingeschreven op dat moment onder mijn achternaam: JENS.Nee
Openbare Ruimte;geachte heer<wbr />/mevrouw<br /><br />Sinds mei 2014 ben ik woonachtig aan de Mosveld 45H te Amsterdam. Ik heb al tweemaal een  brief thuis gestuurd gekregen betreft adres onderzoek. Er zou een melding zijn ontstaan vanuit Dienst belastingen Gemeente Adam waardoor twijfel is ontstaan over mijn woonadres. Ik zou graag willen weten hoe deze melding tot stand is gebracht aangezien ik zowel mijn huurcontract als mijn legitimatie reeds naar u toe is gestuurd. Hiernaast is er door een van uw medewerkers contact geweest  met Dhr Ed Lucassen tussenpersoon van de huiseigenaar Dhr Evert Bolderweij, wie ook reeds bevestiging heeft gegeven betreft mijn huisvestiging aan de Mosveld 45HS. Ik zou graag zien dat u wederom contact opneemt met mijn verhuurder op tel. nr +31 654658871.Adresonderzoek stoppen. <br />
Parkeren;Geachte leer,<br />Met mijn gezin planden wij een dagje uit naar de Expo en stad Amsterdam.<br />Ter voorbereiding keek ik, zoals aangeraden werd, op de kaart van uw gemeente om de parkeertarieven in te zien bij de Expo.<br />Na invullen van het adres (Gustav Mahlerlaan) bleek dat wij uitkwamen in de zone van 0.20 cent p.u. tot 2.40 per uur.<br />Daarom parkeerden wij in de parkeergarage en hadden een leuke dag uit.<br />Bij terugkomst bleek dat de parkeergarage ons 50 euro koste.<br />dit was nogal een schrik!<br />Ik dien een klacht in omdat de informatie op uw gemeentesite verkeerd is.<br />Ik wil graag een vergoeding van de onkosten die ik had omdat ik afging op de informatie die op uw site vermeld wordt.
Belasting, Werk en Inkomen;DIGID haalt adresgegevens vanuit de gemeentelijke organisatie heb ik begrepen. <br />Daarover is het probleem: hier komen gesplitste woningen, ook in oudbouw, veel voor. In oudbouw zijn eigen postvakken niet mogelijk. Daarom is een APART postadres een veel voorkomend gegeven. DUS moeten er LOGISCHERWIJZE 2 (minimaal) adressen per persoon zijn: een woonadres en een postadres en dus ook 2 velden. Logica, logica, logica. Waarom in vredusnaam IS dat dan NIET zo? <br />Ik hoop dat U het ridicule hiervan in ziet en dat verandering (1 veldje erbij, echt niet zo moeilijk dunkt mij) een snel zal komen.De Basisregistratie Personen (BRP) VERANDEREN naar iets wat geen 'gevaar' met zich mee brengt!
Basisinformatie;Mijn stempas is niet gelevert, wat ik erg vervelend vind en ik kan niet telefonisch via 14020 een nieuwe pas aanvragen, alleen schriftelijk of aan de balie. Voor het schritelijk verzoek moet ik online een formulier hebben dat ik niet kan invullen omdat ik geen internet heb en door mijn hoge leeftijd kan ik moeilijk naar het stadsdeelkantoor komen.  Dit vind ik vervelend, nu kan ik niet stemmen.Dat het telefonisch mogelijk is een nieuwe aan te vragen.
Parkeren;Mrs Spijker van settle service heeft vanochtend met een dame van het KCC gebeld om een afspraak te wijzigen.  Er stonden voor eerste inschrijving twee personen in geboekt voor vandaag om 10.45. een van de geboelte personen moest ingeboekt worden voor een latere datum 12 nov om 09.30 en de andere persoon moest geboekt blijven staan voor vandaag om 10.45. Helaas is de persoon die vandaag een afspraak had uit het Qmatic systeem gehaald waardoor deze persoon uiteindelijk is weg gestuurd bij de DBI en waardoor deze persoon nu een maand langer geen BSN kan krijgen met alle gevolgen van dien ( zoals uitbetaling loonwat ook een maand later pas uitbetaald kan worden )eventueel een afspraak aanbieden dat kl toch eerder kan komen dan 12 nov ondanks dat de agenda helemaal vol is ( Mrs Spijker is  hiervan op de hoogte )
Openbare Ruimte;De verlichting op het buikslotermeerplein moet worden aangepast, nu is het vaak donker op diverse vervelende locaties , veiligheid is belangrijkDe straat verlichting moet eerder aangezet worden
Basisinformatie;ONS POSTADRES IS AL 2 JAAR GELEDEN VERANDERD EN HELAAS STUREN JULLIE NOG STEEDS BRIEVEN NAAR HET OUDE POSTADRES. WIJ HEBBEN AL MEERDERE KEREN VERZOCHT DIT AAN TE PASSEN.GRAAG PER DIRECT ONS POSTADRES AANPASSEN. GEEN POSTBUS MEER GEBRUIKEN.<br />HET JUISTE ADRES IS:<br />DIX & ZIJERVELD<br />ZANDLAAN 4<br />2181 HS HILLEGOM
Openbare Ruimte;Geachte heer, mevrouw,<br />Uit het afschrift welke ik op 26 november heb ontvangen uit de basisregistratiie personen schrijft u dat ik van onbekende komaf ben d.d.20 september 2005.<br />Mijn vraag is hoe komt u aan deze onzin ik ben in Amsterdam geboren en nooit langer da 2 weken in het buitenland geweest.Dat de gemeente Amsterdam mijn gegevens goed weergeeft zodat ik niet steeds bij gemeentelijke instansis moet bewijzen dat ik een Amsterdammer ben.
Openbare Ruimte;Ik heb geen stempas ontvangen voor de verkiezingen van 18 maart j.l.Graag onderzoek naar wat er misgaat en het verzoek om gebruik te maken van mijn stemrecht. Ik vind het heel vervelend dat ik voor het eerst sinds mijn 18e jaar niet heb kunnen stemmen.
Parkeren;I was de-registered from basis registratie on 16-09-2014 and because of that no longer have my digicode. <br /><br />Why was my digicode removed? I require digicode for tax declarations and to find old documents. <br /><br />
Parkeren;Hello - My name is Manuchehr Honarmand sofinummer 208367925. I was registered in Amsterdam Z.O , before immigrating to Turkey (Six Years ago ) . Since 2011 , I am trying to divorce a woman which her name is registered in GBA as my spouse ( Ms Fazilat Nazem Razavi ) . A Dutch Court have rejected my divorce request , because I was not residing in NL . I refereed to Turkish court , which issued a verdict of divorced . I have posted a certified , translated by official certified translator to bevolking of Amsterdam Z.O . The parcel arrived and acknowledged receipt   by bevolking of Amsterdam Z.O on Thursday March 19 . After lot of exchange of email , in response to my request for a uitreksel ,, I was informed by email dated March 24 that QUOTE : The document that you want is not available. So the only thing that you can use to prove your divorce is your certificate of divorce. If you show this to the Dutch consulate and our mail then they can help you. There is nothing more we can do for !I need an Uitresksel which shows I am  divorced
Openbare Ruimte;Wij ontvangen zeer regelmatig post van officiele instanties geadresseerd aan A.V. Osipjan. Deze woont echter al zeer lange tijd niet meer op het adres Brouwersgracht 278, 1013 HG  Amsterdam.Deze man uitschrijven van ons woonadres.
Openbare Ruimte;Ik word zojuist doelbewust van de weg afgedrukt door een auto van de handhaving met kenteken 64-LRL-3 na de kruising ferdinand bolstraat stadhouderskade terwijl ik toch echt links voorgesorteerd sta en me ten tijde van invoegen een autolengte voor desbetreffende bevind. Graag een verklaring anders voel ik me geroepen aangifte te doen. Volstrekt belachelijk, en dat noemt zich handhaving.Graag een verklaring van persoon in kwestie of dit past binnen zijn functieomschrijving.
Belasting, Werk en Inkomen;Klacht over brug 346, Westerkeersluis over Tasmanstraat. Deze werd vanochtend in de stromende regen geopend terwijl er geen boot voorbij kwam en zeker 5 kinderen vrolijk zwaaide in het hokje. Best leuk om met kinderen de brug open te doen, mits er een boot komt en zeker niet in de stromende regen terwijl dit mij zeker 3 minuten (doorweekt op de fiets) kostte.Puur het doorgeven, dat dit niet op prijs wordt gesteld en een tientallen mensen aan beide kanten onterecht gedupeerd zijn. Niet heel erg, maar wel als je al compleet doorweekt bent en je ziet dan vrolijk zwaaiende kinderen. Ik zie er wel de humor van in, maar echt vrolijk word ik er niet van. Wacht dan even tot een boot, dan is het functioneel.
Basisinformatie;Mij is de mond gesnoerd op de AT5 website ik meen toch te begrijpen dat deze TV zender met publieke gelden wordt bekostigd. Andere personen met zeer kwalijke denkbeelden mogen daar van alles verklaren.<br />Zou u mij kunnen vertellen wat voor procedure ik moet volgen om dit aan de kaak te stellen ?AT5 eens grondig aanpakken !!!
Belasting, Werk en Inkomen;Op Loveland tijdens ADE kost een flesje water €5,50 voor een halve liter. Verder waren er alleen op de vaste toiletten in het gebouw wastafels (ik geloof 2) en was het verboden hieruit te drinken of flesjes water<wbr />/bekers hiermee te vullen.Waarborging van gratis water op dit soort feesten
